pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,fare_amount
40.73,-73.99,40.74,-73.98,6.5
0,0,0,0,9
40.87,-73.92,40.83,-73.95,12
40.77,-73.98,40.72,-73.99,15
40.7,-73.94,40.67,-73.98,16
40.76,-73.97,40.75,-73.98,4.5
40.75,-73.98,40.72,-74,11.5
40.76,-73.98,40.81,-73.92,18
40.76,-73.97,40.71,-73.98,15.5
40.76,-73.92,40.76,-73.93,5
40.75,-74,40.75,-73.99,5.5
40.78,-73.99,40.78,-73.98,6
40.77,-73.96,40.78,-73.98,8
40.75,-73.99,40.73,-74,11
40.76,-73.97,40.85,-73.93,24.5
40.79,-73.97,40.8,-73.97,4.5
40.74,-73.99,40.82,-73.94,28.5
40.76,-73.98,40.71,-73.95,26.5
40.78,-73.95,40.77,-73.96,6.5
40.78,-73.96,40.78,-73.96,3
40.81,-73.95,40.81,-73.95,4
40.74,-73.98,40.75,-73.98,4
40.78,-73.96,40.78,-73.95,5
40.67,-73.94,40.65,-73.94,10
40.74,-74.01,0,0,10
40.77,-73.96,40.77,-73.96,4.5
40.73,-74,40.74,-73.99,6.5
40.72,-74.01,40.73,-73.99,10.5
40.81,-73.9,40.82,-73.94,11.5
40.75,-73.99,40.75,-73.97,18
40.75,-74,40.75,-74,5
40.77,-73.95,40.78,-73.95,5.5
40.76,-73.97,40.78,-73.96,8
40.76,-74,40.76,-73.99,8
40.72,-73.95,40.64,-73.98,23.5
40.75,-73.99,40.72,-73.98,13.5
40.74,-73.99,40.71,-74.01,16
40.76,-73.99,40.65,-73.79,52
40.78,-73.95,40.77,-73.95,5
40.8,-73.97,40.81,-73.96,5.5
40.77,-73.97,40.75,-73.98,7
40.78,-73.95,40.83,-73.94,15.5
40.77,-73.99,40.67,-73.96,33
40.75,-74.01,40.74,-73.99,9
40.76,-73.98,40.76,-73.98,6
40.77,-73.97,40.8,-73.94,9.5
40.71,-74,40.74,-73.99,10.5
40.77,-73.98,40.77,-73.96,10
40.78,-73.97,40.74,-73.98,16.5
40.79,-73.95,40.65,-74,39.5
40.75,-73.98,40.82,-73.95,32
40.76,-73.98,40.77,-73.97,7
40.73,-73.99,40.71,-74.02,12.5
40.65,-73.78,40.85,-73.9,57
40.76,-73.97,40.75,-73.98,5.5
40.73,-74,40.74,-73.99,5.5
0,0,0,0,7.5
40.88,-73.91,40.85,-73.91,8.5
40.72,-73.99,40.75,-73.99,13.5
40.76,-73.97,40.75,-73.98,11.5
40.76,-73.97,40.72,-73.85,24
40.79,-73.95,40.75,-73.99,15
40.73,-74,40.73,-74.01,5.5
40.76,-73.99,40.78,-73.98,9
0,0,0,0,16.5
40.76,-73.98,40.8,-73.95,11
40.75,-73.98,40.75,-73.96,13
40.75,-73.99,40.71,-73.98,14.5
40.73,-74.01,40.77,-73.95,22.5
40.74,-73.99,40.75,-73.98,6
40.76,-73.98,40.78,-73.96,8.5
40.75,-73.99,40.74,-74.01,10.5
40.73,-73.98,40.74,-73.96,19
40.72,-73.99,40.76,-73.98,15
40.69,-73.99,40.62,-73.94,24.5
40.75,-73.99,40.75,-73.91,19.5
40.77,-73.99,40.71,-74.01,22.5
40.75,-74,40.87,-73.89,39
40.81,-73.91,40.81,-73.91,4.5
40.78,-73.95,40.75,-73.98,10.5
40.77,-73.97,40.75,-73.98,13
40.72,-73.99,40.73,-73.98,4.5
40.77,-73.96,40.78,-73.95,5.5
40.77,-73.95,40.78,-73.98,9.5
40.81,-73.95,40.76,-73.97,16
40.79,-73.97,40.74,-74.01,20.5
40.75,-73.99,40.72,-73.99,12
40.73,-73.99,40.78,-73.95,15.5
40.78,-73.95,40.73,-73.99,17
40.75,-73.98,40.78,-73.96,10.5
40.74,-73.98,40.73,-74.01,10.5
40.74,-74,40.74,-74.01,11
40.72,-73.99,40.67,-73.98,18.5
40.76,-73.97,40.75,-73.98,6
40.73,-73.99,40.78,-73.95,14.5
40.74,-73.99,40.71,-74.01,13
40.74,-73.98,40.73,-73.99,7
40.72,-73.99,40.74,-73.99,11
40.75,-73.99,40.73,-73.99,10.5
40.74,-73.99,40.76,-73.98,10.5
40.85,-73.94,40.83,-73.95,7
40.77,-73.95,40.77,-73.99,11.5
40.76,-73.97,40.76,-73.98,9
40.77,-73.97,40.74,-73.98,11.5
0,0,0,0,22
40.76,-73.97,40.76,-73.97,6.5
40.72,-73.98,40.73,-74,8
40.74,-73.98,40.72,-73.99,13.5
40.72,-73.99,40.72,-73.99,5
40.76,-73.97,40.78,-73.95,8
40.8,-73.97,40.78,-73.97,7.5
40.76,-73.97,40.8,-73.95,11
40.76,-73.96,40.78,-73.98,10.5
40.78,-73.96,40.75,-74,21
40.74,-73.98,40.8,-73.97,25.5
40.78,-73.95,40.78,-73.95,2.5
40.72,-74,40.74,-74,6
40.74,-73.99,40.74,-73.97,6.5
40.74,-73.99,40.77,-73.99,15
40.78,-73.98,40.75,-73.92,17
40.77,-73.97,40.77,-73.96,4.5
40.74,-74,40.75,-74,6
40.71,-73.95,40.72,-73.99,9
40.74,-74,40.78,-73.98,14.5
40.77,-73.96,40.75,-73.98,10
40.65,-73.79,40.69,-73.84,20
40.75,-73.99,40.78,-73.9,24.5
40.76,-73.98,40.8,-74.07,51.7
40.78,-73.97,40.78,-73.98,4.5
40.71,-74,40.71,-73.98,6.5
40.75,-73.98,40.75,-73.99,7
40.72,-74.01,40.75,-73.99,13.5
40.74,-74,40.76,-73.98,11.5
40.76,-73.99,40.73,-73.99,17
40.8,-73.96,40.75,-73.97,23.5
40.77,-73.95,40.77,-73.95,2.5
40.76,-73.99,40.76,-73.99,2.5
40.77,-73.95,40.77,-73.96,4.5
40.78,-73.98,40.79,-73.98,5.5
40.82,-73.94,40.81,-73.95,5.5
40.73,-73.99,40.72,-73.99,6.5
40.77,-73.97,40.74,-73.98,16.5
40.72,-74,40.72,-73.99,6
40.75,-73.99,40.74,-74.01,10
40.69,-73.98,40.64,-73.95,19
40.77,-73.97,40.8,-73.95,9.5
40.8,-73.96,40.76,-73.99,10.5
40.76,-73.99,40.74,-73.99,12
40.73,-74.01,40.82,-73.84,45
40.75,-73.99,40.72,-73.99,12
40.72,-73.99,40.72,-73.99,3
40.78,-73.98,40.78,-73.98,3.5
40.78,-73.96,40.77,-73.97,4.5
40.72,-74,40.72,-74,4.5
40.78,-73.95,40.72,-73.99,18
40.73,-74,40.77,-73.99,16
40.75,-73.98,40.77,-73.96,8.5
40.7,-73.99,40.64,-73.96,17.5
40.71,-74.01,40.74,-74.01,14
40.72,-73.99,40.7,-73.81,33
40.77,-73.99,40.73,-73.99,18.5
40.74,-74.01,40.69,-73.96,22.5
40.65,-73.78,40.8,-73.97,52
40.74,-73.98,40.76,-73.99,19
40.74,-74,40.73,-74,4.5
40.73,-74,40.74,-73.99,6.5
40.75,-73.99,40.75,-73.98,6.5
40.77,-73.99,40.77,-73.99,7.5
40.78,-73.97,40.75,-73.97,9.5
40.74,-73.99,40.76,-73.98,9
40.77,-73.97,40.68,-73.96,32
40.74,-74.01,40.67,-73.99,24
40.78,-73.98,40.79,-73.95,11.5
40.73,-74,40.72,-73.96,19
40.77,-73.92,40.85,-73.88,24.5
40.74,-73.99,40.72,-73.96,22.5
40.77,-73.95,40.74,-73.98,11
40.76,-73.96,40.76,-73.97,3.5
40.78,-73.98,40.77,-73.99,8.5
40.85,-73.94,40.82,-73.91,15
40.73,-73.99,40.74,-74,4.5
40.77,-73.98,40.78,-73.92,17
40.73,-73.98,40.77,-73.96,14
40.75,-73.98,40.73,-73.99,11.5
40.8,-73.95,40.76,-73.98,16.5
40.77,-73.87,40.83,-73.9,37.5
40.76,-73.98,40.75,-73.98,2.5
40.76,-73.98,40.75,-73.98,-2.5
40.79,-73.98,40.79,-73.97,5.5
40.73,-73.99,40.71,-73.99,6
40.72,-73.96,40.71,-73.95,5
40.73,-74,40.74,-73.99,6
40.78,-73.95,40.81,-73.94,9
40.78,-73.95,40.75,-73.99,14
40.76,-73.99,40.8,-73.96,18.5
40.77,-73.87,40.59,-73.82,51
40.71,-73.82,40.71,-73.85,11
40.74,-74,40.73,-74,4.5
40.78,-73.98,40.75,-74,15.5
40.76,-74,40.76,-74,4.5
40.77,-73.96,40.78,-73.96,4.5
40.75,-73.98,40.77,-73.96,6.5
40.73,-73.99,40.72,-73.98,6
40.75,-73.98,40.73,-73.99,8.5
40.73,-73.98,40.76,-74,13.5
40.73,-74,40.71,-73.94,16.5
40.66,-73.81,40.71,-74.01,52
0,0,0,0,4.5
40.76,-73.97,40.74,-73.98,8
40.76,-73.98,40.73,-73.98,16
40.78,-73.98,40.73,-73.7,62
40.72,-73.99,40.72,-74,5.5
40.75,-73.99,40.74,-73.99,7
40.76,-73.96,40.73,-73.99,12
40.76,-73.96,40.71,-73.96,18.5
40.8,-73.97,40.82,-73.92,19
40.75,-73.98,40.72,-73.96,46.5
40.82,-73.94,40.8,-73.95,6
40.73,-74.01,40.75,-73.97,13.5
40.78,-73.98,40.78,-73.98,4.5
40.75,-73.98,40.75,-73.98,4
40.78,-73.95,40.75,-73.97,10
40.77,-73.96,40.76,-73.97,7
40.75,-73.99,40.71,-74.01,17
40.82,-73.94,40.82,-73.94,4.5
40.74,-73.99,40.74,-74,6.5
40.74,-74,40.76,-73.99,13
40.79,-73.98,40.77,-73.95,9.5
40.75,-73.99,40.74,-74.01,11.5
40.74,-74.01,40.73,-73.99,11
40.78,-73.96,40.77,-73.95,5
40.76,-73.96,40.76,-73.97,4.5
40.78,-73.99,40.77,-73.98,5.5
40.72,-74,40.73,-73.99,5.5
40.78,-73.95,40.78,-73.98,9
40.72,-73.98,40.78,-73.95,15
40.77,-73.96,40.79,-73.97,10
40.75,-73.99,40.74,-73.99,8
40.76,-73.99,40.74,-73.98,17.5
40.71,-73.8,40.73,-73.8,6.5
40.81,-73.95,40.83,-73.86,22.5
40.71,-73.94,40.78,-73.95,27
40.77,-73.96,40.77,-73.96,4
40.73,-73.99,40.74,-74,8
40.76,-73.99,40.86,-73.93,31
40.74,-74.01,40.73,-74,7.5
40.73,-74,40.74,-73.98,10
40.73,-74,40.76,-74,13.5
40.78,-73.95,40.77,-73.98,15
40.76,-73.98,40.76,-74,13.5
40.77,-73.98,40.75,-73.98,13
40.78,-73.96,40.78,-73.95,4.5
40.77,-73.95,40.74,-73.98,12
40.82,-73.95,40.78,-73.98,12.5
40.74,-74.01,40.79,-73.98,17.5
40.85,-73.94,40.84,-73.91,10.5
40.75,-73.98,40.78,-73.98,12
40.81,-73.94,40.8,-73.95,4.5
40.72,-74,40.74,-74.01,7.5
40.72,-74,40.76,-73.96,15
40.74,-73.97,40.85,-73.9,34.5
40.76,-73.98,40.74,-74,18
40.77,-73.96,40.75,-73.98,8.5
40.64,-73.79,40.62,-73.74,23
40.77,-73.98,40.64,-74,47.5
40.74,-74.01,40.76,-74,10.5
40.74,-74,40.76,-73.97,12
40.68,-73.97,40.68,-73.98,4
40.73,-73.99,40.75,-73.99,9
40.8,-73.94,40.75,-73.93,15.5
40.74,-73.98,40.8,-73.94,16
40.75,-73.99,40.7,-73.98,21.5
40.76,-73.93,40.76,-73.78,36.5
40.77,-73.96,40.76,-73.96,3
40.73,-73.99,40.75,-73.98,7.5
40.75,-73.98,40.72,-74,23.5
40.77,-73.95,40.79,-73.98,8
40.78,-73.96,40.77,-73.97,7.5
40.75,-74,40.73,-74.01,7
40.71,-74.02,40.76,-74,16.5
40.85,-73.91,40.86,-73.9,6
40.8,-73.96,40.8,-73.94,7.5
40.71,-73.94,40.73,-73.98,16.5
40.8,-73.97,40.87,-73.91,22
40.74,-73.99,40.73,-74.01,9.5
40.78,-73.96,40.71,-74.01,24
40.76,-73.96,0,0,20
40.76,-73.89,40.75,-73.9,7
40.8,-73.95,40.83,-73.94,10
40.7,-74.02,40.71,-74.01,10
40.8,-73.97,40.81,-73.97,6
40.7,-73.98,40.72,-74.01,8.5
40.75,-73.97,40.77,-73.97,6.5
40.76,-73.97,40.77,-73.98,8
40.77,-73.98,40.79,-73.97,9
40.76,-73.98,40.74,-73.92,14
40.76,-73.96,40.75,-73.98,24.5
40.77,-73.96,40.77,-73.95,4.5
40.74,-73.99,40.78,-73.96,14
40.76,-73.98,40.74,-73.99,13.5
40.71,-74.02,40.76,-73.96,30
40.75,-73.86,40.76,-73.86,4
40.73,-74,40.72,-74.01,7
40.73,-74.01,40.72,-74.01,7
40.77,-73.97,40.75,-73.96,8
40.76,-73.97,40.75,-73.97,7
40.74,-73.98,40.75,-73.89,19
40.78,-73.95,40.69,-73.99,26.5
40.76,-73.98,40.75,-73.98,13.5
40.76,-73.97,40.77,-73.96,5
40.81,-73.94,40.8,-73.95,6
40.76,-73.98,40.73,-73.98,15
40.78,-73.98,40.79,-73.97,6.5
40.8,-73.95,40.81,-73.96,6.5
40.79,-73.97,40.77,-73.95,9.5
0,0,0,0,9
40.79,-73.95,40.75,-73.97,12
40.78,-73.96,40.79,-73.95,5
40.82,-73.95,40.82,-73.94,4.5
40.76,-73.97,40.76,-73.96,5
40.73,-74,40.71,-73.98,10
40.75,-73.98,40.76,-74,14.5
40.73,-74,40.69,-73.92,20
40.76,-73.98,40.72,-73.99,18.5
40.73,-73.99,40.78,-73.98,22
40.77,-73.96,40.79,-73.94,7.5
40.79,-73.98,40.77,-73.99,7.5
40.74,-73.99,40.74,-73.98,8
40.72,-73.99,40.75,-73.99,11.5
40.77,-73.98,40.71,-74.02,23.5
40.77,-73.96,40.76,-73.97,4.5
40.8,-73.97,40.79,-73.97,4
40.75,-73.98,40.75,-73.98,4.5
40.78,-73.98,40.76,-73.99,6
40.78,-73.95,40.78,-73.98,12
40.74,-73.99,40.72,-74.01,13
40.77,-73.96,40.79,-73.94,14.5
40.78,-73.95,40.77,-73.95,6
40.77,-73.99,40.77,-73.98,5.5
40.77,-73.97,40.78,-73.96,7
40.73,-74,40.75,-73.99,12.5
40.76,-73.96,40.73,-73.97,10.5
40.74,-73.99,40.73,-74,8.5
40.8,-73.97,40.84,-73.95,12.5
40.73,-73.99,40.75,-73.98,8
40.74,-74.01,40.75,-73.99,9.5
40.73,-74,40.78,-73.98,19.5
40.76,-73.97,40.82,-73.95,21
40.71,-74,40.73,-74.01,6
40.76,-73.99,40.76,-74,8
40.73,-74,40.76,-73.98,14.5
40.75,-73.9,40.74,-73.91,4
40.76,-73.97,40.75,-73.98,6
40.73,-73.99,40.74,-74,7.5
40.76,-73.98,40.78,-73.96,8.5
40.78,-73.97,40.74,-73.89,23.5
40.78,-73.95,40.77,-73.96,4
40.73,-73.98,40.72,-73.98,5
40.72,-73.96,40.71,-73.95,6.5
40.74,-73.98,40.75,-73.98,8
40.73,-74,40.7,-74.01,10.5
40.76,-73.97,40.76,-73.98,9
40.73,-73.99,40.73,-73.98,3.5
40.73,-73.98,40.75,-73.98,7
40.7,-73.94,40.7,-73.98,10.5
40.74,-74,40.73,-73.98,9.5
40.79,-73.97,40.77,-73.96,12.5
40.73,-73.98,40.68,-73.97,17.5
40.72,-73.94,40.69,-73.92,15.5
40.76,-73.96,40.76,-73.97,4.5
40.8,-73.96,40.81,-73.95,7.5
40.74,-74,40.78,-73.99,15
40.75,-73.99,40.77,-73.99,16
40.77,-73.96,40.75,-73.98,7
40.76,-73.87,40.74,-73.88,9
40.77,-73.98,40.75,-74,14
40.76,-73.97,40.74,-73.99,14
40.77,-73.98,40.73,-74.01,19.5
40.73,-74,40.78,-73.95,21
40.74,-74,40.7,-74.01,13.5
40.76,-73.96,40.74,-73.93,16.5
40.76,-73.99,40.79,-73.94,17.5
40.76,-73.98,40.82,-73.94,22.5
40.77,-73.92,40.77,-73.91,5
40.76,-73.97,40.67,-73.96,30.5
40.76,-73.97,40.79,-73.97,11.5
40.77,-73.99,40.76,-73.97,9
40.73,-74,40.69,-73.95,21
40.79,-73.94,40.8,-73.95,6
40.77,-73.97,40.79,-73.97,7.5
40.77,-73.93,40.76,-73.92,6.5
40.74,-73.99,40.73,-74,6.5
0,0,0,0,8
40.79,-73.98,40.83,-73.95,12.5
40.75,-74.01,40.77,-73.96,16
40.77,-73.96,40.73,-74,19.5
40.7,-73.99,40.69,-73.98,9.5
40.71,-73.96,40.69,-73.97,16
40.77,-74,40.69,-73.99,25.5
40.78,-73.94,40.78,-73.95,6
40.73,-74,40.74,-74,8
40.76,-73.96,40.72,-73.99,12
40.76,-73.99,40.75,-73.99,11.5
40.65,-73.79,40.67,-73.89,24.5
40.75,-73.97,40.74,-73.89,19.5
0,0,0,0,33
40.78,-73.98,40.71,-74.02,24
40.77,-73.95,40.77,-73.96,4.5
40.72,-73.99,40.74,-73.97,7
40.76,-73.97,40.75,-73.99,10.5
40.77,-73.98,40.75,-73.98,15.5
40.76,-73.97,40.76,-73.97,4
40.68,-73.97,40.68,-73.97,6
40.75,-73.98,40.76,-73.97,7.5
40.76,-73.83,40.77,-73.99,35.5
40.78,-73.95,40.78,-73.96,5
40.76,-73.97,40.77,-73.96,5
40.82,-73.95,40.81,-73.95,7
40.79,-73.97,40.82,-73.94,12.5
40.75,-74,40.83,-74.13,80
40.75,-73.99,40.76,-73.99,14.5
40.76,-73.97,40.75,-73.99,15.5
40.75,-73.98,40.75,-73.99,7
40.75,-73.97,40.74,-74,9
40.7,-73.99,40.72,-73.96,16.5
40.75,-73.99,40.75,-73.97,11.5
40.8,-73.97,40.79,-73.97,4.5
40.73,-73.99,40.73,-73.98,5
40.75,-73.99,40.74,-73.99,7
40.71,-73.99,40.75,-73.98,12.5
40.72,-73.98,40.75,-73.98,11
0,0,0,0,27.5
40.8,-73.97,40.75,-73.89,27.5
40.78,-73.95,40.77,-73.95,4
40.71,-74,40.75,-73.97,19
40.7,-73.99,40.75,-73.88,25
40.79,-73.97,40.74,-73.98,17
40.69,-73.98,40.69,-73.99,6.5
40.78,-73.98,40.79,-73.97,7
40.74,-73.98,40.77,-73.95,12
40.72,-74.01,40.76,-73.97,15
0,0,0,0,13.5
40.76,-73.97,40.78,-73.96,6
40.74,-73.98,40.73,-73.99,6.5
40.76,-73.97,40.77,-73.94,13
40.71,-74,40.71,-74.01,3.5
40.77,-73.96,40.76,-73.96,3.5
40.75,-73.99,40.75,-73.98,6.5
40.77,-73.97,40.75,-73.96,8.5
40.74,-73.98,40.78,-73.95,15
40.69,-73.99,40.67,-73.93,19
40.75,-73.99,40.79,-73.96,20.5
40.73,-73.99,40.75,-73.98,6
40.72,-73.93,40.72,-73.96,9
40.77,-73.95,40.75,-73.99,14.5
40.75,-73.98,40.71,-74.01,15.5
40.74,-73.99,40.75,-73.99,5
40.77,-73.95,40.78,-73.96,6
40.74,-73.98,40.75,-73.97,6.5
40.77,-73.96,40.76,-73.97,6
40.74,-74,40.75,-73.99,8
40.75,-74,40.76,-74,8.5
40.74,-74,40.7,-73.92,27
40.78,-73.96,40.73,-74,23
40.73,-73.99,40.73,-73.99,5.5
40.76,-73.98,40.76,-73.98,6.5
40.74,-73.99,40.77,-73.95,16
40.77,-73.96,40.72,-74.02,25
40.74,-73.99,40.66,-73.96,23.5
40.72,-74,40.73,-73.98,7.5
40.75,-73.99,40.74,-73.98,8.5
40.75,-74.01,40.75,-73.98,10
40.76,-73.96,40.78,-73.92,15
40.65,-73.96,40.66,-73.99,10.5
40.8,-73.97,40.79,-73.98,6.5
40.72,-73.99,40.71,-73.95,10
40.77,-73.96,40.78,-73.95,4.5
40.75,-73.98,40.75,-73.99,8.5
40.71,-74.01,40.76,-73.98,19
40.74,-74,40.75,-73.97,13
40.73,-73.99,40.74,-73.97,6.5
40.83,-73.95,40.81,-73.96,8
40.74,-73.99,40.75,-74,8.5
40.76,-73.98,40.76,-73.98,3
40.73,-73.99,40.73,-73.98,5
40.75,-74,40.75,-73.99,5
40.79,-73.97,40.82,-73.95,9.5
40.7,-74.01,40.7,-74,12
40.74,-74,40.75,-73.97,13
40.76,-73.97,40.71,-74,21
40.75,-74,40.75,-74,2.5
40.76,-73.96,40.76,-73.96,3.5
40.7,-74.01,40.72,-73.99,7.5
40.78,-73.98,40.86,-73.87,34.5
40.77,-73.95,40.78,-73.98,9.5
40.74,-73.99,40.75,-74,5
40.75,-73.98,40.74,-73.99,8.5
40.77,-73.96,40.75,-74,20
40.8,-73.97,40.79,-73.98,6
40.76,-73.95,40.76,-73.95,7
40.78,-73.96,40.8,-73.97,9.5
40.8,-73.94,40.85,-73.91,15
40.75,-73.97,40.75,-74,14.5
40.8,-73.96,40.8,-73.97,5
40.81,-73.96,40.82,-73.94,7
40.82,-73.96,40.8,-73.95,18.5
40.76,-73.97,40.7,-73.95,29
40.74,-73.98,40.74,-73.98,5.5
40.78,-73.98,40.8,-73.97,7
40.75,-73.98,40.74,-73.98,6
40.77,-73.91,40.73,-73.95,20.5
40.75,-73.98,40.74,-73.99,5
40.74,-73.99,40.73,-73.99,7
40.74,-73.99,40.76,-73.98,8
40.73,-74,40.74,-74.01,9
40.72,-73.99,40.74,-73.98,9.5
40.74,-73.98,40.72,-73.99,10
40.71,-74.01,40.77,-73.98,17
40.78,-73.95,40.72,-74,18
40.71,-74.01,40.77,-73.99,21
40.79,-73.97,40.78,-73.98,5.5
40.74,-73.99,40.74,-73.99,5.5
40.8,-73.94,40.79,-73.94,7
40.79,-73.97,40.77,-73.99,12
40.76,-73.93,40.77,-73.92,7
40.76,-73.99,40.74,-73.99,11.5
40.74,-74.01,40.76,-73.98,14.5
40.74,-73.99,40.87,-73.93,34.5
40.76,-73.99,40.72,-73.98,19.5
40.75,-74,40.78,-73.95,20.5
40.78,-73.98,40.78,-73.99,5
40.75,-73.98,40.73,-73.98,9
40.79,-73.98,40.86,-73.93,20.5
40.75,-73.97,40.75,-73.98,4
40.76,-73.99,40.71,-74.01,23
40.77,-73.96,40.77,-73.96,4.5
40.75,-73.99,40.74,-73.98,7
40.77,-73.96,40.78,-73.98,7.5
40.72,-73.99,40.73,-73.99,6.5
40.81,-73.94,40.81,-73.93,8
40.77,-73.98,40.78,-73.95,9.5
40.78,-73.95,40.7,-74.01,23
40.76,-73.98,40.71,-74.01,21
40.77,-73.96,0,0,2.5
40.74,-74,40.74,-73.98,7
40.72,-73.99,40.72,-73.99,3.5
40.75,-73.99,40.75,-73.99,4
40.84,-73.94,40.85,-73.94,5
40.79,-73.97,40.78,-73.96,5.5
40.74,-73.99,40.75,-73.97,8
40.76,-73.97,40.78,-73.95,10.5
40.74,-73.98,40.76,-74,13
40.74,-73.98,40.72,-73.98,6.5
40.79,-73.94,40.8,-73.93,8
40.74,-74.01,40.72,-74,9
40.75,-73.99,40.76,-73.96,11.5
40.72,-73.99,40.77,-73.92,26.5
40.75,-73.99,40.76,-73.99,11.5
40.72,-74.01,40.73,-74.01,4.5
40.78,-73.95,40.77,-73.95,7
40.74,-73.97,40.75,-73.98,5.5
40.74,-73.99,40.74,-74.01,9
40.74,-74.01,40.77,-73.96,15.5
40.77,-73.96,40.86,-73.86,27
40.76,-73.96,40.77,-73.96,7
40.76,-73.96,40.76,-73.96,31
40.75,-73.97,40.77,-73.98,9.5
40.74,-73.99,40.77,-73.99,12.5
40.73,-73.99,40.71,-74.01,8
40.77,-73.98,40.76,-73.99,7
40.64,-73.78,40.66,-73.75,13.5
40.79,-73.94,40.76,-73.92,19.5
40.74,-73.99,40.79,-73.95,21
40.74,-73.98,40.74,-74,7
40.74,-73.98,40.71,-73.99,10.5
40.77,-73.96,40.8,-73.97,11
40.75,-73.99,40.73,-73.98,15
40.75,-73.99,40.81,-73.96,26
40.73,-74,40.72,-74,7
40.76,-73.99,40.76,-73.99,7.5
40.74,-74,40.73,-74,3
40.78,-73.98,40.8,-73.96,6.5
40.77,-73.97,40.76,-73.96,7
40.79,-73.97,40.78,-73.96,9
40.75,-73.98,40.79,-73.98,14.5
40.73,-74,40.76,-73.99,16
40.75,-74,40.68,-73.99,27
40.75,-73.99,40.78,-73.95,13
40.86,-73.93,40.85,-73.94,7
40.74,-74,40.73,-73.99,6.5
40.73,-73.98,40.78,-73.92,21
40.75,-73.99,40.75,-73.99,3
40.79,-73.95,40.78,-73.96,4.5
40.72,-73.95,40.72,-73.99,9.5
40.75,-73.99,40.75,-73.98,7.5
40.75,-73.98,40.76,-73.98,9
40.77,-73.95,40.81,-73.95,14
40.75,-73.96,40.71,-73.83,27
40.73,-74,40.72,-74.01,5.5
40.73,-74,40.72,-74.01,7.5
40.64,-73.78,40.69,-73.8,16.5
40.73,-74,40.73,-73.98,9
40.78,-73.97,40.72,-73.96,30.5
40.77,-73.95,40.77,-73.96,4.5
40.75,-73.98,40.69,-73.93,27
40.73,-73.99,40.74,-73.99,5.5
40.78,-73.98,40.8,-73.97,8.5
40.75,-73.95,40.78,-73.95,12
40.75,-73.99,40.71,-74,15
40.78,-73.95,40.77,-73.96,4.5
40.77,-73.96,40.78,-73.95,6
40.74,-73.98,40.75,-73.99,6
40.75,-73.89,40.67,-73.8,32
40.78,-73.96,40.77,-73.96,6.5
40.74,-74,40.75,-73.98,8
40.76,-73.97,40.77,-73.93,13
40.77,-73.95,40.73,-73.99,15.5
40.75,-73.99,40.77,-73.99,15
40.74,-73.98,40.73,-73.98,6
40.78,-73.95,40.79,-73.97,7.5
40.76,-73.99,40.77,-74.02,60
40.77,-73.99,40.76,-73.99,14.5
40.76,-74,40.7,-74.01,24
40.73,-74,40.71,-73.98,7.5
40.75,-73.98,40.75,-73.99,7.5
40.76,-73.99,40.81,-73.92,35
40.74,-73.97,40.75,-73.97,3.5
40.77,-73.97,40.76,-73.96,6
40.79,-73.95,40.79,-73.96,5.5
40.77,-73.96,40.76,-73.96,6.5
40.77,-73.96,40.76,-73.97,6
40.74,-73.99,40.73,-73.98,3.5
40.74,-73.99,40.74,-73.98,4.5
40.79,-73.94,40.81,-73.91,12
40.74,-74.01,40.72,-73.99,10
40.72,-74.01,40.72,-74.01,2.5
40.78,-73.95,40.77,-73.96,4.5
40.73,-73.99,40.75,-73.99,10
40.72,-73.99,40.73,-73.98,6
40.78,-73.98,40.71,-73.95,34.5
40.74,-74,40.74,-73.98,5.5
40.76,-73.98,40.76,-73.97,5.5
40.78,-73.95,40.74,-73.85,28
40.75,-73.97,40.78,-73.98,15
40.73,-73.96,40.7,-73.94,12
40.76,-73.97,40.86,-73.92,27.5
40.75,-73.94,40.74,-73.96,5
40.84,-73.94,40.83,-73.91,15
40.74,-74,40.82,-73.95,25.5
40.77,-73.97,40.76,-73.96,5
40.71,-74.02,40.75,-73.99,15.5
40.76,-73.98,40.76,-73.98,5
40.77,-73.96,40.78,-73.95,6.5
40.77,-73.99,40.78,-73.97,8
40.7,-73.99,40.71,-74.01,11
40.79,-73.97,40.83,-73.89,23.5
40.76,-73.97,40.76,-73.98,6
40.77,-73.97,40.75,-73.98,6.5
40.75,-73.99,40.74,-74,6
40.81,-73.96,40.8,-73.94,10.5
40.76,-73.97,40.79,-73.97,14
40.74,-73.98,40.74,-73.92,21
40.74,-73.98,40.78,-73.99,17
40.76,-73.97,40.74,-73.97,12
40.76,-73.97,40.76,-73.91,15
40.76,-73.99,40.71,-74.01,19
40.74,-74.01,40.74,-73.99,7
40.73,-74,40.74,-73.99,11
40.76,-73.99,40.75,-73.97,11
40.77,-73.99,40.86,-73.89,29.5
40.77,-73.98,40.82,-73.95,17
40.75,-73.99,40.74,-74.01,12
40.76,-73.97,40.74,-74,18.5
40.74,-73.99,40.76,-73.99,12
40.73,-73.99,40.76,-73.97,15
40.74,-74,40.79,-73.98,20.5
40.76,-73.97,40.77,-73.96,6
40.76,-73.97,40.74,-73.92,11
40.75,-73.98,40.76,-73.97,8.5
40.75,-73.99,40.74,-73.98,9
40.74,-74,40.68,-73.94,34.5
40.78,-73.96,40.78,-73.98,7.5
40.75,-73.98,40.75,-73.98,3
